name,city,state,url,sitemap_url1,sitemap_url2,sitemap_url3,sitemap_url4,sitemap_url5,notes,,,,,,
The Argus Leader,Sioux Falls,South Dakota,http://argusleader.com,https://www.argusleader.com/news-sitemap.xml,,,,,,,,,,,
The Spokesman-Review,Spokane,Washington,http://spokesman.com/,,,,,,,,,,,,
Inlander,Spokane,Washington,http://www.inlander.com/,https://www.inlander.com/spokane/Sitemap.xml?id=News,,,,,,,,,,,
Tallahassee Democrat,Tallahassee,Florida,/wiki/MMAjunkie.com,,,,,,,,,,,,
Tampa Bay Times,Tampa,Florida,http://tampabay.com,,,,,,,,,,,,
The Blade,Toledo,Ohio,http://toledoblade.com/,,,,,,,,,,,,
Toledo City Paper,Toledo,Ohio,,,,,,,,,,,,,
Arizona Daily Star,Tucson,Arizona,http://www.tucson.com/,https://tucson.com/tncms/sitemap/news.xml,,,,,,,,,,,
Tulsa Beacon,Tulsa,Oklahoma,,,,,,,,,,,,,
Tulsa World,Tulsa,Oklahoma,http://tulsaworld.com/,,,,,,,,,,,,
Washington City Paper,Washington,D.C.,http://washingtoncitypaper.com/,https://www.washingtoncitypaper.com/sitemap-google-news.xml,,,,,,,,,,,
The Washington Post,Washington,D.C.,https://washingtonpost.com,https://www.washingtonpost.com/arcio/news-sitemap/,,,,,,,,,,,
The Washington Times,Washington,D.C.,http://www.washingtontimes.com/,,,,https://www.washingtontimes.com/sitemaps/stories/stories-%Y-%-m_1.xml,https://www.washingtontimes.com/sitemaps/stories/stories-%Y-%-m_2.xml,,,,,,,
The Wichita Eagle,Wichita,Kansas,http://www.kansas.com,https://www.kansas.com/sitemap/story/googlenews.xml,,,,,,,,,,,
Star-News,Wilmington,North Carolina,http://www.starnewsonline.com,http://www.starnewsonline.com/section/google-news-sitemap,,,,,,,,,,,
Winston-Salem Journal,Winston-Salem,North Carolina,http://journalnow.com,https://www.journalnow.com/tncms/sitemap/news.xml,,,,,,,,,,,
Winston-Salem Chronicle,Winston-Salem,North Carolina,,,,,,,,,,,,,
Telegram & Gazette,Worcester,Massachusetts,http://www.telegram.com,http://www.telegram.com/section/google-news-sitemap,,,,,,,,,,,
San Francisco Chronicle,San Francisco,California,http://sfchronicle.com/,https://www.sfchronicle.com/sitemap/news/local.xml,,,,,,,,,,,
San Francisco Examiner,San Francisco,California,http://sfexaminer.com/,https://www.sfexaminer.com/sitemap-news.xml,,,,,,,,,,,
Berkeley News,Berkeley,California,http://news.berkeley.edu,https://news.berkeley.edu/sitemap-4.xml,,,,,,,,,,,
East Bay Times,Oakland,California,http://eastbaytimes.com/,,,,https://www.eastbaytimes.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
San Francisco Gate,San Francisco,California,https://www.sfgate.com/,https://www.sfgate.com/sitemap/news/local.xml,,,,,,,,,,,
San Mateo Daily Journal,San Mateo,California,https://www.smdailyjournal.com/,https://www.smdailyjournal.com/tncms/sitemap/news.xml,,,,,,,,,,,
Napa Valley Register,Napa Valley,California,https://napavalleyregister.com/,https://napavalleyregister.com/tncms/sitemap/news.xml,,,,,,,,,,,
Monterey Herald,Monterey,California,https://www.montereyherald.com/,,,,https://www.montereyherald.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
Davis Enterprise,Davis,California,https://www.davisenterprise.com/,,,,https://www.davisenterprise.com/sitemap.xml?yyyy=2020&mm=04&dd=28,,,,,,,,
Marin Independent Journal,Marin,California,https://www.marinij.com/,,,,https://www.marinij.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
Santa Rosa Press-Democrat,Santa Rosa,California,https://www.pressdemocrat.com/,https://www.pressdemocrat.com/sitemap-news.xml,,,,,,,,,,,
48 Hills,San Francisco,California,https://48hills.org/,https://48hills.org/post-sitemap4.xml,,,,,,,,,,,
Sonoma Index-Tribune,Sonoma,California,https://www.sonomanews.com/,https://www.sonomanews.com/sitemap-news.xml,,,,,,,,,,,
Vallejo Times-Herald,Vallejo,California,https://www.timesheraldonline.com/,,,,https://www.timesheraldonline.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
Stockton Record,Stockton,California,https://www.recordnet.com/,https://www.recordnet.com/section/google-recent-sitemap,,,,,,,,,,,
East Bay Express,Oakland,California,https://www.eastbayexpress.com/,https://www.eastbayexpress.com/oakland/Sitemap.xml?id=News,,,,,,,,,,,
